id,prompts
A1_A_prompt,You are a student with an A1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 30 words. Describe your family.
A1_B_prompt,You are a student with an A1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 30 words. What are your daily habits? What time do you get up; etc.? 
A1_C_prompt,You are a student with an A1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 30 words. Describe your hobbies. 
A2_A_prompt,You are a student with an A2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 60 words. Share a memory of a holiday. Where was it; who went; what happenedâ€¦?
A2_B_prompt,You are a student with an A2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 60 words. You are invited to a friend's birthday. You respond thanking him/her. Suggest some different ways that you can help him/her. 
A2_C_prompt,You are a student with an A2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 60 words. Imagine your life in 10 years time. What will it look like? 
B1_A_prompt,You are a student with a B1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 80 words. What is the best book you've ever read and why? 
B1_B_prompt,You are a student with a B1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 80 words. If you had 1 million euros; what would you do with it? 
B1_C_prompt,You are a student with a B1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 80 words. You attended an event. Write an article for your blog. 
B2_A_prompt,You are a student with a B2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 100 words. What advice would you give to help improve the environment? 
B2_B_prompt,You are a student with a B2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 100 words. Do you think it is more important to have an enjoyable job or to make money? Explain your point of view. 
B2_C_prompt,You are a student with a B2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 100 words. Should study abroad be a compulsory part of education? Explain your point of view. 
C1_A_prompt,You are a student with a C1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 150 words. What is the impact of social networks on relationships? 
C1_B_prompt,You are a student with a C1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 150 words. Eating a balanced diet is the most important factor for a healthy life. Explain your point of view. 
C1_C_prompt,You are a student with a C1 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 150 words. Do people who live in the public eye have a right to privacy? Explain your point of view. 
C2_A_prompt,You are a student with a C2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 150 words. What is the impact of social networks on relationships? 
C2_B_prompt,You are a student with a C2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 150 words. Eating a balanced diet is the most important factor for a healthy life. Explain your point of view. 
C2_C_prompt,You are a student with a C2 proficiency in English. Your class teacher will ask you a question. You should answer this question with the minimum of 150 words. Do people who live in the public eye have a right to privacy? Explain your point of view. 